meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
133,1744372719510,133,133,0,0.22153544425964355
134,1744372720051,134,134,0,0.22890758514404297
135,1744372720594,135,135,0,0.2588057518005371
136,1744372721168,136,136,0,0.2546374797821045
137,1744372721719,137,137,0,0.2465963363647461
138,1744372722270,138,138,0,0.23712754249572754
139,1744372722831,139,139,0,0.2051084041595459
140,1744372723366,140,140,0,0.21849274635314941
141,1744372723900,141,141,0,0.19895315170288086
142,1744372724432,142,142,0,0.2125682830810547
143,1744372724976,143,143,0,0.24648261070251465
144,1744372725534,144,144,0,0.24245214462280273
145,1744372726076,145,145,0,0.23743081092834473
146,1744372726642,146,146,0,0.22268033027648926
147,1744372727160,147,147,0,0.22164583206176758
148,1744372727687,148,148,0,0.2537870407104492
149,1744372728265,149,149,0,0.22045183181762695
150,1744372728811,150,150,0,0.23733162879943848
